"","Year","Month","Total.Active","Total.Reactive","Total.Intensity","Total.Voltage","Total.Sub_metering_1","Total.Sub_metering_2","Total.Sub_metering_3"
"1","2006","12",41813.282,2889.436,176594.8,5309773.22,27460,48712,162951
"2","2007","01",69011.862,5922.396,292241.2,10753521.91,56433,79274,329578
"3","2007","02",56488.886,4581.608,238463.6,9697260.78,47584,64604,270274
"4","2007","03",58862.192,5122.184,248772.2,10736280.75,60769,104762,290361
"5","2007","04",35181.466,4688.994,151026.2,9450794.83,42078,38417,189503
"6","2007","05",44008.872,5148.894,191838.8,10498362.16,75737,72132,229448
"7","2007","06",35682.828,6317.98,155518.4,10309151.25,59672,69939,188851
"8","2007","07",29703.83,5674.062,131040.4,10578509.55,43052,55733,154815
"9","2007","08",34096.46,5033.644,147804.6,10616283.84,36251,49711,225442
"10","2007","09",41872.606,5443.416,180334.8,10342642.6,52841,75277,226375
"11","2007","10",49276.37,4171.17,208779.8,10700881.41,43218,87914,256080
"12","2007","11",55918.644,4170.904,235253.8,10405070.38,50823,73666,299690
"13","2007","12",72604.17,4950.484,304418.2,10790396.33,74090,82931,362423
"14","2008","01",65169.382,3908.238,275945.6,10742211.5,61761,62911,312175
"15","2008","02",49331.072,3639.688,207710.2,10046857.96,40192,56646,255918
"16","2008","03",55590.594,4531.466,233677.6,10772523.43,63110,79277,279670
"17","2008","04",48209.992,5361.76,202913,10420755.46,47080,70871,295678
"18","2008","05",45721.86,6896.588,195697.2,10729543.15,53084,58907,290620
"19","2008","06",42943.972,6550.438,185819,10323489.14,68728,63449,290103
"20","2008","07",35477.418,6551.446,154611.8,10702890.14,47313,44416,227228
"21","2008","08",12341.88,5705.046,56403.2,10732450.56,3873,22264,79665
"22","2008","09",42667.792,5399.154,181973.4,10373381.89,52376,44590,284282
"23","2008","10",50696.46,4712.902,213963,10717968.88,44093,63228,275887
"24","2008","11",59908.76,4377.654,253310.8,10391188.27,58067,55887,280615
"25","2008","12",56833.912,4070.958,236433.6,10834008.18,45107,39459,307346
"26","2009","01",62950.008,4396.526,261900.2,10882685.36,74651,72952,329606
"27","2009","02",50222.09,3858.294,209344.2,9758014.49,47098,50684,296166
"28","2009","03",54758.986,4657.394,229840,10815949.79,64645,48427,328697
"29","2009","04",49275.524,5314.588,208064.8,10438073.71,54506,52601,307840
"30","2009","05",45209.83,5337.736,191944.2,10717942.42,43570,50099,311048
"31","2009","06",33541.98,5429.5,143932.2,9616389.45,31362,29801,259969
"32","2009","07",27590.444,7487.97,120976.4,10802709.17,18226,42528,187936
"33","2009","08",29076.404,8243.432,128391.8,10555310.81,34023,38217,192064
"34","2009","09",42628.564,6648.062,181977.2,10416803.52,51602,46144,296547
"35","2009","10",51088.72,5866.398,215103,10753273.24,54728,53729,327505
"36","2009","11",55067.642,5473.938,230421,10451851.03,60445,53473,335529
"37","2009","12",60905.006,5791.888,252730,10895351.04,57801,53490,383909
"38","2010","01",59379.658,5196.072,246799.2,10105594.77,53887,56568,395913
"39","2010","02",55471.706,4130.218,230447.2,9770991.14,49268,53590,411714
"40","2010","03",48155.898,5328.96,201565,10312056.7,35089,60872,324352
"41","2010","04",44378.124,5393.432,185980,10444775.1,38196,36476,336091
"42","2010","05",48892.4,5454.214,206717.4,10729839.44,48107,52376,364625
"43","2010","06",41885.424,6484.718,180102.2,10403886.68,65747,47675,306934
"44","2010","07",32187.752,7386.89,139756.4,10737823.51,17667,34359,192912
"45","2010","08",22103.374,4782.076,95934.6,9026141.77,12499,26983,160189
"46","2010","09",36309.424,4773.662,154396.4,9156874.28,36865,32508,257861
"47","2010","10",51932.954,6140.416,218240.6,10809749.46,48199,60220,315669
"48","2010","11",44598.388,4128.708,188465.4,8970019.7,46162,42282,247113
